topic,subtopic,title,url,difficulty
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Kruskal’s Algorithm,,Hard
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Number of operations to make network connected,,Medium
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Most stones removed with same rows or columns,,Medium
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Accounts merge,,Hard
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Number of island II,,Hard
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Making a Large Island,,Hard
Graphs,Minimum Spanning Tree/Disjoint Set and Problems,Swim in rising water,,Hard
Graphs,Other Algorithms,Bridges in Graph,,Hard
Graphs,Other Algorithms,Articulation Point,,Hard
Graphs,Other Algorithms,Kosaraju's Algorithm,,Hard
Dynamic Programming,Lec 1: Introduction to DP,Dynamic Programming Introduction,,Medium
Dynamic Programming,Lec 2: 1D DP,Climbing Stairs,,Medium
Dynamic Programming,Lec 2: 1D DP,Frog Jump(DP-3),,Medium
Dynamic Programming,Lec 2: 1D DP,Frog jump with k distances(DP-4),,Medium
Dynamic Programming,Lec 2: 1D DP,Maximum sum of non-adjacent elements (DP-5),,Medium
Dynamic Programming,Lec 2: 1D DP,House Robber (DP-6),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Ninja’s Training (DP 7),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Grid Unique Path (DP 8),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Grid Unique Path 2 (DP 9),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Minimum path sum in Grid (DP 10),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Minimum path sum in Triangular Grid (DP 11),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,Minimum/Maximum Falling Path Sum (DP-12),,Medium
Dynamic Programming,Lec 3: 2D/3D DP and DP on Grids,3-d DP : Ninja and his friends (DP-13),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Subset sum equal to target (DP - 14),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Partition Equal Subset Sum (DP - 15),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Partition Set into 2 Subsets With Min Absolute Sum Diff (DP-16),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Count Subsets with Sum K (DP - 17),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Count Partitions with Given Difference (DP-18),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Assign Cookies,,Hard
Dynamic Programming,Lec 4: DP on Subsequences,Minimum Coins (DP - 20),,Hard
Dynamic Programming,Lec 4: DP on Subsequences,Target Sum (DP - 21),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Coin Change 2 (DP - 22),,Medium
Dynamic Programming,Lec 4: DP on Subsequences,Unbounded Knapsack (DP - 23),,Hard
Dynamic Programming,Lec 4: DP on Subsequences,Rod Cutting Problem (DP - 24),,Hard
Dynamic Programming,Lec 5: DP on Strings,Longest Common Subsequence | (DP - 25),,Hard
Dynamic Programming,Lec 5: DP on Strings,Print Longest Common Subsequence (DP - 26),,Hard
Dynamic Programming,Lec 5: DP on Strings,Longest Common Substring | (DP - 27),,Hard
Dynamic Programming,Lec 5: DP on Strings,Longest Palindromic Subsequence | (DP-28),,Hard
Dynamic Programming,Lec 5: DP on Strings,Minimum insertions to make string palindrome | (DP-29),,Hard
Dynamic Programming,Lec 5: DP on Strings,Minimum Insertions/Deletions to Convert String | (DP - 30),,Hard
Dynamic Programming,Lec 5: DP on Strings,Shortest Common Supersequence | (DP - 31),,Hard
Dynamic Programming,Lec 5: DP on Strings,Distinct Subsequences| (DP-32),,Hard
Dynamic Programming,Lec 5: DP on Strings,Edit Distance | (DP-33),,Hard
Dynamic Programming,Lec 5: DP on Strings,Wildcard Matching | (DP-34),,Medium
Dynamic Programming,Lec 6: DP on Stocks,Best Time to Buy and Sell Stock | (DP-35),,Hard
Dynamic Programming,Lec 6: DP on Stocks,Buy and Sell Stock – II|(DP-36),,Hard
Dynamic Programming,Lec 6: DP on Stocks,Buy and Sell Stock – III|(DP-37),,Hard
Dynamic Programming,Lec 6: DP on Stocks,Buy and Stock Sell IV |(DP-38),,Hard
Dynamic Programming,Lec 6: DP on Stocks,Buy and Sell Stocks With Cooldown|(DP-39),,Hard
Dynamic Programming,Lec 6: DP on Stocks,Buy and Sell Stocks With Transaction Fee| (DP-40),,Hard
Dynamic Programming,Lec 7: DP on LIS,Longest Increasing Subsequence| (DP-41),,Hard
Dynamic Programming,Lec 7: DP on LIS,Printing Longest Increasing Subsequence| (DP-42),,Hard
Dynamic Programming,Lec 7: DP on LIS,Longest Increasing Subsequence|(DP-43),,Hard
Dynamic Programming,Lec 7: DP on LIS,Largest Divisible Subset|(DP-44),,Hard
Dynamic Programming,Lec 7: DP on LIS,Longest String Chain|(DP-45),,Hard
Dynamic Programming,Lec 7: DP on LIS,Longest Bitonic Subsequence|(DP-46),,Hard
Dynamic Programming,Lec 7: DP on LIS,Number of Longest Increasing Subsequences|(DP-47),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Matrix Chain Multiplication|(DP-48),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Matrix Chain Multiplication | Bottom-Up|(DP-49),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Minimum Cost to Cut the Stick|(DP-50),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Burst Balloons|(DP-51),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Evaluate Boolean Expression to True|(DP-52),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Palindrome Partitioning – II|(DP-53),,Hard
Dynamic Programming,Lec 8: MCM DP | Partition DP,Partition Array for Maximum Sum|(DP-54),,Hard
Dynamic Programming,Lec 9: DP on Squares,Maximum Rectangle Area with all 1s|(DP-55),,Hard
Dynamic Programming,Lec 9: DP on Squares,Count Square Submatrices with All Ones|(DP-56),,Hard
Tries,Lec 1: Theory,Implement TRIE | INSERT | SEARCH | STARTSWITH,,Hard
Tries,Lec 2: Problems,Implement Trie - 2 (Prefix Tree),,Hard
Tries,Lec 2: Problems,Longest String with All Prefixes,,Medium
Tries,Lec 2: Problems,Number of Distinct Substrings in a String,,Hard
Tries,Lec 2: Problems,Bit PreRequisites for TRIE Problems,,Hard
Tries,Lec 2: Problems,Maximum XOR of two numbers in an array,,Medium
Tries,Lec 2: Problems,Maximum XOR With an Element From Array,,Hard
Strings,Lec 1: Hard Problems,Minimum number of bracket reversals needed to make an expression balanced,,Medium
Strings,Lec 1: Hard Problems,Count and say,,Medium
Strings,Lec 1: Hard Problems,Hashing in Strings | theory,,Medium
Strings,Lec 1: Hard Problems,Rabin Karp,,Hard
Strings,Lec 1: Hard Problems,Z-Function,,Easy
Strings,Lec 1: Hard Problems,KMP algo / LPS(pi) array,,Hard
Strings,Lec 1: Hard Problems,Shortest Palindrome,,Hard
Strings,Lec 1: Hard Problems,Longest happy prefix,,Hard
Strings,Lec 1: Hard Problems,Count palindromic subsequence in given string,,Hard
